Name,Type,Street Address,City,State/Province,Zip/Postal Code,Country,Region,Owner,LinkedIn,Email
"360X Logistics LLC","FedEx","1925 Grandview Parkway","Sturtevant","WI","53177","US","USA","","",""
"Nile Transportation and Logistics Inc","FedEx","208 Honor Way","Madison","AL","35758","US","USA","","",""
"Absolute Fleet Services","FedEx","1101 W 40Th Street 2158","Chattanooga","TN","37409","US","USA","","",""
"SabSaf LLC","FedEx","3250 Business Park Dr","Vista","CA","92081","US","USA","Saba Safiari","",""
"FYDAQ Transport","FedEx","PO Box 166","Glenpool","OK","74033","US","USA","","",""
"Hohl Transport Inc","FedEx","700 42nd Street","West Des Moines","IA","50265","US","USA","","",""
"North Florida Courier Inc","FedEx","4000 Faye Rd","Jacksonville","FL","32226","US","USA","","",""
"Legacy Transport Inc","FedEx","18135 Furuby Rd","Shafer","MN","55074-9712","US","USA","","",""
"AG Logistics Services Inc","FedEx","8500 Echo Shore Cv","Austin","TX","78737","US","USA","","",""
"AKA Enterprises Inc","FedEx","","Lenexa","KS","","US","USA","Aaron Brown","",""
"Route Runner Inc","FedEx","7585 Factory Shoals Rd","Austell","GA","","US","USA","","",""
"Black Enterprises of WNC Inc","FedEx","286 Shootout Ln","Burnsville","NC","28714","US","USA","","",""
"Apex Efficient Logistics LLC","FedEx","615 South 8th Street #1202","Minneapolis","MN","55404","US","USA","","",""
"Belmont Service Company","FedEx","4030 Wake Forest Road, Ste 349","Raleigh","NC","27609","US","USA","","",""
"BHL Holdings Inc","FedEx","2606 Gold Leaf Pt","Gainesville","GA","30504","US","USA","","",""
"BlueStar Trucking LLC","FedEx","1223 Jodi Dr","Yuba City","CA","95993","US","USA","","",""
"Clout Enterprises 1 Inc","FedEx","3225 California St","Omaha","NE","68131","US","USA","","",""
"Bulldog Express","FedEx","65 Glen Rd","Garner","NC","27529","US","USA","","",""
"Wyandotte Inc","FedEx","102 Becica St","Columbus","TX","78934","US","USA","","",""
"C2C Express Inc","FedEx","51229 872 Rd","Orchard","NE","68764-6475","US","USA","","",""
"Impact Delivery Services","FedEx","3710 Hazel Ave","Cumming","GA","30040","US","USA","","",""
"Camden County Logistics Inc","FedEx","","Lincoln Park","NJ","","US","USA","","",""
"AG Trucking Inc","FedEx","9093 Anza","Planada","CA","95365","US","USA","","",""
"Lightspeed Transportation Inc","FedEx","414 Broad St","Perkasie","PA","18944","US","USA","","",""
"Frontgate Inc","FedEx","3717 23rd St S. Suite #203","St. Cloud","MN","56301","US","USA","","",""
"Diversified Inc","FedEx","8325 Highland Dr.","Wausau","WI","54401","US","USA","","",""
"Alpha Kilo Logistics Inc","FedEx","","Memphis","TN","","US","USA","","",""
"Costa Shipping & Delivery Inc","FedEx","401 Pine St.","St. Louis","MO","63102","US","USA","","",""
"HJC Logistics 326 Corp","FedEx","1 Alhambra Plaza PH","Coral Gables","FL","33134","US","USA","","",""
"SSGMAT Inc","FedEx","7609 Sleepy Hollow","Amarillo","TX","79121","US","USA","","",""
"Redbone Trucking Inc","FedEx","625 West 1100 North","North Salt Lake","UT","84054","US","USA","","",""
"Customer Centric Delivery Inc","FedEx","6245 Little Lake Sawyer Drive","Windermere","FL","34786","US","USA","Stephen R Lorenc","",""
"JK Distribution Inc","FedEx","","Stewartville","MN","","US","USA","","",""
"Allen Flavors Inc","FedEx","230 St Nicholas Ave","South Plainfield","NJ","7080","US","USA","","",""
"Alpha19 Deliveries Inc","FedEx","18131 Bearpath Trl","Eden Prairie","MN","55347-3468","US","USA","","",""
"Blackrock Logistics Inc","FedEx","7598 Kelly Dr","Dublin","OH","43016","US","USA","","",""
"SB Transportation Service Inc","FedEx","7575 Kingspointe Pkwy Ste 26","Orlando","FL","32819-8508","US","USA","Diana Rodriguez","",""
"Blue Ox Transport Inc","FedEx","4657 Engen Rd","Pequot Lakes","MN","56472","US","USA","","",""
"Tollgate Road Logistics Inc","FedEx","279 Troy Road, Suite 9 #276","Rensselaer","NY","12144","US","USA","","",""
"SMS Group Inc","FedEx","100 Sandusky St","Pittsburgh","PA","15212","US","USA","","",""
"JND Deliveries Inc","FedEx","1800 Como Ave Suite 200F","St. Paul","MN","55108","US","USA","","",""
"CTE Logiscs Inc","FedEx","138 Van Schaick Avenue","Cohoes","NY","12047","US","USA","","",""
"DDA Services Inc","FedEx","11 Navigator Rd","Londonderry","NH","3053","US","USA","","",""
"DC Express Transport Group LLC","FedEx","426 Gage Hill Lane","Fairburn","GA","30213","US","USA","","",""
"Way Routes Inc","FedEx","7815 N Dale Mabry Hwy Ste 202","Tampa","FL","33614","US","USA","","",""
"North Star Delivery","FedEx","2101 Bryant Ave N","Minneapolis","MN","55411","US","USA","","",""
"InCharge Logistics Inc","FedEx","1929 E Ray Rd Ste 4","Chandler","AZ","85225-8722","US","USA","","",""
"QIC Corporation","FedEx","23757 W 82nd Terrace","Lenexa","KS","66227","US","USA","Jeffrey A. Quick","",""
"Apex Delivery Logistics Inc","FedEx","61 Harvard St Suite 105","Worcester","MA","1609","US","USA","","",""
"Chenoweth Logistics Solutions Inc","FedEx","1850 Star Batt Drive","Rochester Hills","MI","48309","US","USA","","",""
"Rocabox Inc","FedEx","445 COFFEEN ST.","Watertown","NY","13601","US","USA","","",""
"Desert Fox Logistics Inc","FedEx","204 E 17th St","Hays","KS","67601","US","USA","Ken Eland","",""
"Lee Logistics Inc","FedEx","14250 Grasslands Dr","Englewood","CO","80112","US","USA","","",""
"Hongfeng US Services Corp","FedEx","851 Burlway Rd, Ste 423","Burlingame","CA","94010","US","USA","","",""
"Beeline Group Inc","FedEx","168 W Main St Ste 231","New Market","MD","21774","US","USA","","",""
"Excel Expedited Inc","FedEx","","Austell","GA","30168","US","USA","","",""
"Sang Dynasty Inc","FedEx","","Columbia","SC","","US","USA","","",""
"S&S Palmer Trucking","FedEx","14250 Grasslands Dr","Englewood","CO","80112","US","USA","","",""
"Infinite Global Management Inc","FedEx","20500 S La Grange Rd Ste 200S","Frankfort","IL","60423-1901","US","USA","","",""
"FloMac Transportation Inc","FedEx","1654 Charleigh Ford D Ford Jr Drive","Columbus","MS","39701","US","USA","","",""
"J.L. Pitcock Logistics Co","FedEx","3007 N UNIVERSITY DR UNIT 630005","Nacogdoches","TX","75963-0016","US","USA","","",""
"J Parle Group","FedEx","14927 Fondren Road","Missouri City","TX","77489","US","USA","","",""
"KLV Ventures Inc","FedEx","8115 Lemongrass Ave","Baytown","TX","77521","US","USA","","",""
"Pony Xpress Delivery","FedEx","459 Charleston St","Cadiz","OH","43907-1272","US","USA","","",""
"RRDS Inc","FedEx","","Cottage Grove","WI","","US","USA","","",""
"SAFOA Enterprises Inc","FedEx","2255 Cumberland Pkwy, Building 500 Suite P","Atlanta","GA","30339","US","USA","","",""
"SK United Corp","FedEx","5202 Commerce Rd","Flint","MI","48507","US","USA","","",""
"SM Miller Enterprises Inc","FedEx","11816 Inwood Rd. Suite 71071","Dallas","TX","75244-8011","US","USA","","",""
"SWS Forward LLC","FedEx","424 Church Street, Suite 2000","Nashville","TN","37219","US","USA","","",""
"SYCS Trucking Company","FedEx","320 W. Lanier Ave Ste 200","Fayetteville","GA","30214","US","USA","","",""
"WITFAWN","FedEx","","Portland","OR","","US","USA","","",""
"Luna Delivery Inc","FedEx","","Tampa","FL","","US","USA","","",""
